sentence_id,sentence_text_full,border_no_border
0,"The Earthquake in Chile IN Santiago, the capital of the kingdom of Chile, at the moment of the great earthquake of 1647 in which many thousands lost their lives, a young Spaniard called Jerónimo Rugera was standing beside one of the pillars in the prison to which he had been committed on a criminal charge, and was about to hang himself.",no_border
1,"A year or so previously Don Enrico Asterón, one of the richest noblemen of the city, had turned him out of his house where he had been employed as a tutor, for being on too intimate a footing with Asteró’s only daughter, Doña Josefa.",border
2,"She herself was sternly warned, but owing to the malicious vigilance of her proud brother she was discovered nevertheless in a secret rendezvous with Jerónimo, and this so aroused her old father’s indignation that he forced her to enter the Carmelite convent of Our Lady of the Mountain.",border
3,"A happy chance had enabled her lover to resume the liaison in this very place, and one quiet night the convent garden became the scene of his joy’s consummation.",border
4,"On the day of Corpus Christi, the solemn procession of the nuns, with the novices following them, was just beginning when, as the bells pealed out, the unhappy Josefa collapsed on the cathedral steps in the pangs of childbirth.",border
5,"This incident caused an extraordinary public stir; without any regard for her condition the young sinner was at once imprisoned, and her confinement was scarcely over when by the Archbishop’s command she was put on trial with the utmost rigour.",border
6,"The scandal was talked of in the city with so much anger and the whole convent in which it had taken place was criticized on all sides with such harshness that neither the intercession of the Asterón family, nor even the wishes of the Abbess herself, who had conceived an affection for the young girl on account of her otherwise irreproachable conduct, could mitigate the strict penalty to which she was subject by conventual law.",no_border
7,"All that could be done was that the Viceroy commuted her sentence from death at the stake to death by beheading, a decision which greatly outraged the matrons and virgins of Santiago.",border
8,"In the streets through which the culprit was to be led to her execution the windows were rented, the roofs of the houses were partly dismantled, and the pious daughters of the city invited their female friends to witness with them, in sisterly companionship, this spectacle about to be offered to divine vengeance.",no_border
9,"Jerónimo, who in the meantime had also been imprisoned, went almost out of his mind when he was informed of this appalling turn of events.",border
10,"In vain he pondered plans of rescue: wherever the wings of his most reckless imaginings carried him, bolts and walls were in his way; when he attempted to file through the window bars this was discovered, and merely led to his being locked up still more strictly.",no_border
11,"He fell on his knees before an image of the Holy Mother of God and prayed to her with infinite fervour, convinced that she alone could save them now.",border
12,"Yet the fearful day came, and with it an inward certainty of the utter hopelessness of his position.",border
13,"The bells that accompanied Josefa’s passage to the place of execution began to toll, and despair overcame him.",border
14,"Hating his life, he resolved to put an end to it by means of a length of rope which by chance had been left in his cell.",border
15,"He was standing by one of the walls under a pillar, as already related, holding the rope that would release him from this miserable world, and was in the very act of fastening it to an iron bracket attached to the cornice, when suddenly, with a crash as if the very firmament had shattered, the greater part of the city collapsed, burying every living thing beneath its ruins.",border
16,"Jerónimo Rugera stood rigid with horror; and as if every thought had been obliterated from his mind, he now clung to the pillar on which he had wanted to die, and tried to stop himself falling.",border
17,"The ground was heaving under his feet, great cracks appeared in the walls all round him, the whole edifice toppled towards the street and would have crashed down into it had not its slow fall been met by that of the house opposite, and only the arch thus formed by chance prevented its complete destruction.",no_border
18,"Trembling, his hair on end, his knees nearly giving way, Jerónimo slid down the steeply sloping floor to the gap that had been torn through the front wall of his prison as the two buildings collided.",no_border
19,He was scarcely outside when a second tremor completely demolished the already subsiding street.,border
20,"Panic-stricken, with no idea of how to save himself from this general doom, he ran on over wreckage and fallen timber towards one of the nearest city gates, while death assailed him from all directions.",no_border
21,"Here another house caved in, scattering its debris far and wide and driving him into a side street; here flames, flashing through clouds of smoke, were licking out of every gable and chased him in terror into another; here the Mapocho river, overflowing its banks, rolled roaring towards him and forced him into a third.",no_border
22,"Here lay a heap of corpses, there a voice still moaned under the rubble, here people were screaming on burning house-tops, there men and animals were struggling in the floodwater, here a brave rescuer tried to help and there stood another man, pale as death, speechlessly extending his trembling hands to heaven.",no_border
23,"When Jerónimo had reached the gate and climbed a hill beyond it, he fell down at the top in a dead faint.",border
24,"He had probably lain there quite unconscious for about a quarter of an hour when he finally recovered his senses and half raised himself up, his back turned to the city.",no_border
25,"He felt his forehead and his chest, not knowing what to make of his condition, and an unspeakable feeling of bliss came over him as a westerly breeze from the sea fanned his returning life and his eyes wandered in all directions over the fertile surroundings of Santiago.",no_border
26,"Only the sight of crowds of distraught people everywhere troubled him; he did not understand what could have brought them and him to this place, and only when he turned and saw the city levelled to the ground behind him did he remember the terrifying moments he had just experienced.",border
27,"He bowed his forehead to the very ground as he thanked God for his miraculous escape; and as if this one appalling memory, stamping itself on his mind, had erased all others, he wept with rapture to find that the blessing of life, in all its wealth and variety, was still his to enjoy.",no_border
28,"But a moment later, noticing a ring on his finger, he suddenly also remembered Josefa, and with her his prison, the bells he had there heard tolling, and the moment that had preceded its collapse.",border
