sentence_id,sentence_text_full,border_no_border
0,"В Сантьяго, столице королевства Чили, в самый момент начала страшного землетрясения 1647 года, при котором погибло много тысяч людей, молодой испанец, по имени Херонимо Ругера, стоял у столба в камере тюрьмы, куда он был заключен за совершенное им преступление, и собирался повеситься.",border
1,"Дон Энрико Астерон, один из богатейших дворян города, приблизительно за год перед этим удалил его из своего дома, где он исполнял обязанности учителя, за то, что тот вступил в любовные отношения с донной Хосефой, его единственной дочерью.",border
2,"Тайная переписка, попавшая в руки старого дона благодаря коварной бдительности его надменного сына, – после того как отец сделал строгое предостережение дочери, – возбудила в последнем такое негодование, что он заключил дочь в кармелитский монастырь Пресвятой Девы, что на горе.",border
3,"Благодаря счастливой случайности Херонимо удалось здесь возобновить свои встречи с возлюбленной, и однажды в глухую ночь монастырский сад сделался местом его совершенного счастья.",border
4,"Как раз в день праздника Тела Христова, когда началось торжественное шествие монахинь, за которыми следовали послушницы, несчастная Хосефа под звон колоколов упала в родильных муках на ступеньки собора.",border
5,"Это событие вызвало много шума; юную грешницу, невзирая на ее состояние, тотчас заключили в тюрьму, и едва она встала после родов, как, по приказанию архиепископа, ее предали строжайшему суду.",no_border
6,"В городе с таким ожесточением заговорили об этом скандале, а злые языки с такой яростью напали на самый монастырь, где он произошел, что ни заступничество семьи Астерон, ни желание самой игуменьи, полюбившей молодую девушку за ее безупречное во всем остальном поведение, не могли смягчить строгости наказания, которым ей угрожал церковный закон.",no_border
7,"Удалось добиться лишь одного – что смерть на костре, к которой ее присудили, была, к великому негодованию матрон и девиц Сантьяго, по приказу вице-короля заменена отсечением головы.",no_border
8,"На улицах, по которым должны были провести на казнь преступницу, сдавали внаймы окна, сносили крыши с домов, а благочестивые дщери города трогательно приглашали своих подруг присутствовать рядом с ними на зрелище, которое давалось в угоду мстительному божеству.",border
9,"Херонимо, которого тем временем тоже засадили в темницу, едва не лишился рассудка, когда узнал, какой страшный оборот приняло это дело.",border
10,"Напрасно старался он изыскать какой-либо путь к спасению; куда бы он ни уносился на крыльях дерзновенной мечты, он натыкался на запоры и стены, а его попытка перепилить оконную решетку повлекла за собою, когда была обнаружена, еще более строгое заключение.",no_border
